event_id,hit_second_leg,first_hit_minute,final_opposite_prob,first_leg_wins_if_unhedged,pnl_per_contract
sim_000174,False,,0.6261607561258672,False,-0.4
sim_000175,False,,0.6553435344208174,True,0.6
sim_000176,False,,0.5951003088512917,False,-0.4
sim_000177,False,,0.6060056114212162,False,-0.4
sim_000178,False,,0.6258082276364688,False,-0.4
sim_000179,False,,0.6097049646475164,True,0.6
sim_000180,False,,0.5230320051496222,True,0.6
sim_000181,False,,0.6014772304278218,True,0.6
sim_000182,True,20.0,0.5339598880622868,True,0.19499999999999995
sim_000183,False,,0.5907382796329163,False,-0.4
sim_000184,False,,0.7184062735402665,False,-0.4
sim_000185,False,,0.6908195440826778,False,-0.4
sim_000186,False,,0.5166466789461241,False,-0.4
sim_000187,False,,0.5986662489155695,True,0.6
sim_000188,False,,0.4869459419763881,True,0.6
sim_000189,False,,0.5201135655891158,False,-0.4
sim_000190,False,,0.5460703106501719,True,0.6
sim_000191,False,,0.6380784174230167,False,-0.4
sim_000192,False,,0.5625342634106106,True,0.6
sim_000193,False,,0.6590772962462734,True,0.6
sim_000194,False,,0.5754432829729778,False,-0.4
sim_000195,False,,0.46966332751608153,False,-0.4
sim_000196,False,,0.5530131153698679,False,-0.4
sim_000197,False,,0.5615211841896505,False,-0.4
sim_000198,False,,0.7171606550784858,False,-0.4
sim_000199,False,,0.5809463422675628,False,-0.4
sim_000200,False,,0.5617375237867185,False,-0.4
sim_000201,False,,0.5039712905568755,False,-0.4
sim_000202,False,,0.63640350371851,False,-0.4
sim_000203,False,,0.6307522319652008,False,-0.4
sim_000204,False,,0.5799793573383517,False,-0.4
sim_000205,False,,0.4821114426834236,True,0.6
sim_000206,False,,0.6144256436432239,False,-0.4
sim_000207,False,,0.7064973743214134,False,-0.4
sim_000208,False,,0.7618804804305135,False,-0.4
sim_000209,False,,0.5591189301845568,True,0.6
sim_000210,False,,0.5724708442465308,False,-0.4
sim_000211,False,,0.48615533643655856,False,-0.4
sim_000212,False,,0.461915496354884,True,0.6
sim_000213,False,,0.49693564892489817,True,0.6
sim_000214,False,,0.6299551924939637,False,-0.4
sim_000215,False,,0.5328662575589341,True,0.6
sim_000216,False,,0.454110625867165,True,0.6
sim_000217,False,,0.5664478985391525,True,0.6
sim_000218,False,,0.564623605438838,True,0.6
sim_000219,False,,0.6223983775073226,False,-0.4
sim_000220,False,,0.7021637580117005,False,-0.4
sim_000221,True,5.0,0.43548551442426964,True,0.19499999999999995
sim_000222,False,,0.6088640103008202,False,-0.4
sim_000223,False,,0.5847835731337189,False,-0.4
sim_000224,False,,0.6427477963231341,False,-0.4
sim_000225,False,,0.426180519154342,True,0.6
sim_000226,False,,0.6085952531477001,True,0.6
sim_000227,False,,0.45415429279884606,False,-0.4
sim_000228,False,,0.5719648963932141,True,0.6
sim_000229,False,,0.49853927134380716,False,-0.4
sim_000230,False,,0.6503937077082119,True,0.6
sim_000231,False,,0.7385177116849352,False,-0.4
sim_000232,False,,0.6425671128686083,True,0.6
sim_000233,False,,0.592250330118633,True,0.6
sim_000234,False,,0.513493270001029,False,-0.4
sim_000235,False,,0.6013685507896834,False,-0.4
sim_000236,False,,0.6321334242163974,False,-0.4
sim_000237,False,,0.5489897875958604,False,-0.4
sim_000238,False,,0.6097926467699107,False,-0.4
sim_000239,False,,0.5009293144719195,False,-0.4
sim_000240,False,,0.4553669130833098,True,0.6
sim_000241,False,,0.6800195699885376,False,-0.4
sim_000242,False,,0.5427130232610524,True,0.6
sim_000243,False,,0.6566502642525113,False,-0.4
sim_000244,False,,0.6227931499904092,False,-0.4
sim_000245,False,,0.6621451813358546,True,0.6
sim_000246,False,,0.6412380108875685,False,-0.4
sim_000247,False,,0.6915020101289989,False,-0.4
sim_000248,False,,0.6268862603422822,True,0.6
sim_000249,False,,0.6400442515133535,False,-0.4
sim_000250,False,,0.6950497613873521,False,-0.4
sim_000251,False,,0.5926510816751455,True,0.6
sim_000252,False,,0.6996173174383088,False,-0.4
sim_000253,False,,0.6603273683240759,False,-0.4
sim_000254,False,,0.6389873703630414,False,-0.4
sim_000255,False,,0.6147760500726102,True,0.6
sim_000256,False,,0.6722846519902039,False,-0.4
sim_000257,False,,0.6351856372569554,False,-0.4
sim_000258,False,,0.5362091320205307,False,-0.4
sim_000259,False,,0.550207212901179,False,-0.4
sim_000260,False,,0.545473338512691,False,-0.4
